AIANNH,AITS1,AITS2,AITS3,AITSCC,AITSCE,AITSNS,AREALAND,AREAWATER,BASENAME,CENTLAT,CENTLON,FSRFLG,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSADC,MTFCC,NAME,OBJECTID,OID,AGENCY,P_total,population,blocks_count,SPAI_weighted,SPAR_weighted
2430,35-51730,NA,NA,D7,530,02419033,363089253,5861970,Nenahnezad/San Juan,+36.6307335,-108.4925124,F,A,2430530,+36.6017153,-108.4810246,T2,G2300,Nenahnezad/San Juan Chapter,307,257901461484895,Shiprock,31480.092159206488,1538,149,5.441024658900839e-5,1.5304928566458165
2430,35-51780,NA,NA,D7,540,02419034,336822756,76370,Newcomb,+36.3323999,-108.6402588,F,A,2430540,+36.3312581,-108.6564572,T2,G2300,Newcomb Chapter,308,257901461484896,Shiprock,13729.277899539411,542,103,8.348830822670287e-6,0.2348422721175939
2430,35-72610,NA,NA,D7,730,02419139,328310636,296676,Sheep Springs,+36.1660496,-108.7478537,F,A,2430730,+36.1525615,-108.7636444,T2,G2300,Sheep Springs Chapter,309,257901461484897,Shiprock,17096.64472023444,659,99,8.12312853130177e-6,0.22849354616387085
2430,35-72780,NA,NA,D7,735,02419141,437884207,872428,Shiprock,+36.7181505,-108.7702648,F,A,2430735,+36.7232241,-108.7735527,T2,G2300,Shiprock Chapter,310,257901461484898,Shiprock,151737.11978165965,8163,297,6.004154420927797e-5,1.6888942850857738
2430,04-63298,NA,NA,D7,695,02419127,20482512,0,San Juan Southern Paiute Southern,+36.2067986,-111.3610980,F,A,2430695,+36.2067986,-111.3610980,T1,G2300,San Juan Southern Paiute Southern Area,316,257901203421806,Tuba City,218.1663433710178,13,4,4.1389526234317027e-05,1.1642361175105145
2430,35-08940,NA,NA,D7,075,02419319,145030493,30449,Bread Springs,+35.3677704,-108.6955989,F,A,2430075,+35.3599863,-108.6966332,T2,G2300,Bread Springs Chapter,332,257901476505426,Crownpoint,25713.896701222868,1259,164,6.73240977486947e-5,1.8937434976690093
2430,04-66268,NA,NA,D7,740,02419143,1363880259,281082,Shonto,+36.6622063,-110.5977119,F,A,2430740,+36.6579462,-110.6082066,T2,G2300,Shonto Chapter,338,257901203421807,Tuba City,42251.97525572382,1852,189,5.634897029486286e-5,1.5850267536382923
2430,04-74130,NA,NA,D7,850,02419494,891988406,342486,Tolani Lake,+35.4825851,-110.9078121,F,A,2430850,+35.4838902,-110.9094256,T2,G2300,Tolani Lake Chapter,339,257901203421808,Tuba City,14321.732179301247,564,136,6.2510883020187765e-6,0.175835372788674
2430,04-74480,NA,NA,D7,852,02419495,695126044,234326,Tonalea,+36.4022940,-110.9692548,F,A,2430852,+36.4039199,-110.9821766,T2,G2300,Tonalea Chapter,340,257901203421809,Tuba City,47842.74994135223,2449,197,6.714167073237127e-5,1.8886120516115927
2430,49-01540,NA,NA,D7,010,02419298,707783015,1784239,Aneth,+37.2995197,-109.2063579,F,A,2430010,+37.2783034,-109.1957332,T2,G2300,Aneth Chapter,346,257901349493807,Shiprock,43755.81394814984,2029,178,4.1815564166619385e-5,1.1762200369544804
2430,35-12829,NA,NA,D7,095,02419332,68514127,324776,Casamero Lake,+35.5329876,-108.0152514,F,A,2430095,+35.5281723,-108.0188384,T2,G2300,Casamero Lake Chapter,351,257901476505427,Crownpoint,7401.758423613454,443,79,3.421080289920776e-5,0.9623075199944563
2430,35-14750,NA,NA,D7,105,02419336,382173366,160895,Chi Chil Tah,+35.2652104,-108.8640213,F,A,2430105,+35.2604085,-108.8566523,T2,G2300,Chi Chil Tah Chapter,352,257901476505428,Crownpoint,52152.82715184642,1991,320,6.654796737010672e-5,1.8719119112542775
2430,35-15380,NA,NA,D7,120,02419343,203294600,69057,Church Rock,+35.5726235,-108.6223344,F,A,2430120,+35.5617392,-108.6368855,T2,G2300,Church Rock Chapter,353,257901476505429,Crownpoint,77928.70104668735,4683,254,6.578994037019105e-5,1.850589550462957
2430,35-18740,NA,NA,D7,142,02418899,540078216,37107,Coyote Canyon,+35.7839728,-108.5375805,F,A,2430142,+35.7803138,-108.5457185,T2,G2300,Coyote Canyon Chapter,354,257901476505430,Fort Defiance,19616.739969105747,762,113,3.918409380426784e-5,1.1022000343899656
2430,35-18950,NA,NA,D7,150,02418902,204600601,8933,Crownpoint,+35.7027357,-108.1729497,F,A,2430150,+35.7284149,-108.1759497,T2,G2300,Crownpoint Chapter,355,257901476505431,Crownpoint,52688.11221220949,3057,209,6.224698268310598e-5,1.7509305382103366
2430,49-67600,NA,NA,D7,693,02419126,1228300,0,San Juan Southern Paiute Northern,+37.0463393,-110.7809833,F,A,2430693,+37.0463393,-110.7809833,T1,G2300,San Juan Southern Paiute Northern Area,363,257901349493808,Tuba City,830.334731754524,27,1,0,0
2430,04-59802,35-62320,NA,D7,653,02419073,900622402,111886,Red Valley,+36.6449573,-109.0479374,F,A,2430653,+36.6463266,-109.0472580,T2,G2300,Red Valley Chapter,371,257901190687276,Shiprock,32185.96187861314,1157,223,9.704256178191467e-6,0.27296870885314894
2430,04-60890,NA,NA,D7,665,02419077,723437561,107744,Rock Point,+36.6559060,-109.5895692,F,A,2430665,+36.6658578,-109.5892177,T2,G2300,Rock Point Chapter,372,257901190687277,Shiprock,29102.294683908603,1304,188,4.3972490733261615e-6,0.12368917102054948
2430,04-61380,NA,NA,D7,675,02419081,320204008,216144,Rough Rock,+36.3926243,-109.7838828,F,A,2430675,+36.3877405,-109.7827793,T2,G2300,Rough Rock Chapter,373,257901190687278,Chinle,15663.503972525175,768,87,3.8194272811344574e-5,1.0743575956215818
2430,04-42950,NA,NA,D7,435,02419006,282877505,95732,Lupton,+35.2680856,-109.1137281,F,A,2430435,+35.2771001,-109.1080058,T2,G2300,Lupton Chapter,381,257901190687263,Fort Defiance,18069.015615361648,721,74,3.885808204333937e-5,1.0930297272775489
2430,35-62290,NA,NA,D7,650,02419072,143475920,0,Red Rock,+35.4274081,-108.8066613,F,A,2430650,+35.4274081,-108.8066613,T2,G2300,Red Rock Chapter,382,257901476505440,Crownpoint,49127.812080792384,2837,234,7.328895411261759e-5,2.0615275204994905
2430,35-64240,NA,NA,D7,667,02419078,75191005,0,Rock Springs,+35.6176223,-108.7968833,F,A,2430667,+35.6364073,-108.7403853,T2,G2300,Rock Springs Chapter,383,257901476505441,Crownpoint,40183.44540614955,1907,184,6.581525152395975e-5,1.8513015218739497
2430,35-73480,NA,NA,D7,750,02419472,165645210,182896,Smith Lake,+35.5270916,-108.1539397,F,A,2430750,+35.5307972,-108.1580505,T2,G2300,Smith Lake Chapter,384,257901476505442,Crownpoint,19110.24633144166,900,92,6.377472604134436e-5,1.7939040669692423
2430,35-74950,NA,NA,D7,810,02419478,353873586,14023,Standing Rock,+35.8338266,-108.3605084,F,A,2430810,+35.8313794,-108.3532628,T2,G2300,Standing Rock Chapter,385,257901476505443,Crownpoint,15565.516516629055,642,102,3.497411496769543e-5,0.9837785432198488
2430,04-35320,NA,NA,D7,325,02418975,849833241,140767,Indian Wells,+35.3219671,-110.0961876,F,A,2430325,+35.3232742,-110.0925661,T2,G2300,Indian Wells Chapter,387,257901240858723,Fort Defiance,27223.042132306506,935,176,9.074397689132012e-7,0.025525156955244304
2430,04-37000,NA,NA,D7,355,02418983,1430455998,2008148,Kayenta,+36.6886599,-110.3054728,F,A,2430355,+36.6719842,-110.2850996,T2,G2300,Kayenta Chapter,388,257901240858724,Tuba City,97662.69059229434,5747,348,9.56575802635382e-5,2.690729273536222
2430,04-56130,NA,NA,D7,602,02419054,441212587,99372,Piñon,+36.1078043,-110.2221632,F,A,2430602,+36.1063773,-110.2220780,T2,G2300,Piñon Chapter,389,257901240858725,Chinle,59508.23701989515,2724,214,9.390790332154381e-7,0.026415130279016836
2430,04-82215,NA,NA,D7,937,02419518,137914122,52880,Whippoorwill,+36.0234099,-110.0929316,F,A,2430937,+36.0268764,-110.0902405,T2,G2300,Whippoorwill Chapter,390,257901240858727,Chinle,22743.944994778456,1247,64,2.322693120249794e-5,0.6533448112401726
2430,04-82400,NA,NA,D7,942,02419520,404445540,226318,White Cone,+35.5438482,-110.1267377,F,A,2430942,+35.5456194,-110.1268713,T2,G2300,White Cone Chapter,391,257901240858728,Fort Defiance,32922.61744749846,1229,154,1.3003054149756072e-5,0.3657598106677337
2430,04-06710,NA,NA,D7,068,02419314,678675329,58630,Black Mesa,+36.3323485,-110.0335192,F,A,2430068,+36.3241644,-110.0467007,T2,G2300,Black Mesa Chapter,410,257901190686360,Chinle,10706.752948431855,446,60,0,0
2430,04-12612,NA,NA,D7,108,02419338,736627441,148049,Chilchinbeto,+36.5537336,-110.0220206,F,A,2430108,+36.5645055,-110.0133065,T2,G2300,Chilchinbeto Chapter,411,257901190686631,Tuba City,32177.64887189683,1551,180,4.667240193528351e-5,1.3128368688349965
2430,04-12780,NA,NA,D7,110,02419339,1052511869,404619,Chinle,+36.1683362,-109.5802628,F,A,2430110,+36.1683606,-109.5808679,T2,G2300,Chinle Chapter,412,257901190686632,Chinle,133949.66501987708,7677,379,1.0187661000916312e-4,2.8656628788338203
2430,04-15860,NA,NA,D7,138,02418883,377188220,85776,Cornfields,+35.6252910,-109.6875584,F,A,2430138,+35.6208698,-109.6887840,T2,G2300,Cornfields Chapter,413,257901190686633,Fort Defiance,19122.481236274478,717,116,2.0869399680363546e-5,0.5870303690139005
2430,35-79880,NA,NA,D7,862,02419500,123574566,22331,Tsayatoh,+35.5646015,-108.9653809,F,A,2430862,+35.5547704,-108.9767231,T2,G2300,Tsayatoh Chapter,414,257901476505446,Crownpoint,30924.824022372817,1358,246,5.3410013582250015e-5,1.502357540822155
2430,35-80550,NA,NA,D7,880,02419505,221050706,88323,Twin Lakes,+35.7100652,-108.8058944,F,A,2430880,+35.6923636,-108.8609904,T2,G2300,Twin Lakes Chapter,415,257901476505447,Fort Defiance,44642.144397561984,2114,128,6.245137835037042e-5,1.7566799352134506
2430,35-33770,NA,NA,D7,320,02418970,1146793849,227137,Huerfano,+36.4457052,-108.1059018,F,A,2430320,+36.4395628,-108.1029679,T2,G2300,Huerfano Chapter,416,257901461484891,Crownpoint,52352.92506799326,2601,571,2.9614210114703127e-5,0.8330110572393108
2430,35-37915,NA,NA,D7,382,02418995,234154791,0,Lake Valley,+36.0459086,-108.1167690,F,A,2430382,+36.0459086,-108.1167690,T2,G2300,Lake Valley Chapter,417,257901461484892,Crownpoint,5628.3167215048825,196,125,1.8094217183981184e-5,0.5089679220875939
2430,35-50794,NA,NA,D7,500,02419026,264217369,82327,Nageezi,+36.1750419,-107.7676816,F,A,2430500,+36.1675939,-107.7635566,T2,G2300,Nageezi Chapter,418,257901461484893,Crownpoint,22445.052393169062,1006,186,4.494324505944206e-5,1.2641978272499517
2430,35-51290,NA,NA,D7,510,02419030,699758261,1410643,Naschitti,+36.0748430,-108.6185172,F,A,2430510,+36.0707382,-108.6228263,T2,G2300,Naschitti Chapter,419,257901461484894,Fort Defiance,35094.290514801985,1314,197,2.0943400707622763e-5,0.5891119262702047
2430,04-15632,NA,NA,D7,135,02418880,1183287200,233081,Coppermine,+36.5731729,-111.4541128,F,A,2430135,+36.5816210,-111.4537294,T2,G2300,Coppermine Chapter,426,257901203421800,Tuba City,13917.030750592274,549,291,8.698064274663536e-6,0.24466577664266634
2430,49-37885,04-35390,NA,D7,330,02418976,1298813841,177881,Inscription House,+36.8048837,-110.9605651,F,A,2430330,+36.6287754,-110.8442437,T2,G2300,Inscription House Chapter,427,257901203421801,Tuba City,23552.049727246154,1085,127,2.9720597802044544e-5,0.8360036111371272
2430,04-36605,NA,NA,D7,350,02418981,911892167,202999,Kaibeto,+36.6630657,-111.0474089,F,A,2430350,+36.6586528,-111.0369800,T2,G2300,Kaibeto Chapter,428,257901203421802,Tuba City,31313.148460062628,1906,173,3.3698387689556437e-6,0.09478939147055138
2430,04-40417,NA,NA,D7,390,00024265,972546797,614587,LeChee,+36.7445497,-111.2903037,F,A,2430390,+36.7484575,-111.3057828,T2,G2300,LeChee Chapter,429,257901203421803,Tuba City,29178.39472610469,1500,167,0,0
2430,04-40640,NA,NA,D7,400,02418996,919513859,1965083,Leupp,+35.3164004,-111.1117308,F,A,2430400,+35.3092388,-111.1015312,T2,G2300,Leupp Chapter,430,257901203421804,Tuba City,32564.194365650543,1584,242,1.4647070309546832e-5,0.41200394934580303
2430,04-75887,NA,NA,D7,865,02419501,603802800,306598,Tselani,+36.0245243,-109.7949358,F,A,2430865,+36.0282875,-109.7901668,T2,G2300,Tselani Chapter,432,257901190687295,Chinle,31021.903638535037,1365,176,3.9892107068513794e-5,1.1221155707323034
2430,04-82820,NA,NA,D7,960,02419524,1051898926,366353,Wide Ruins,+35.3339870,-109.5634054,F,A,2430960,+35.3373786,-109.5666830,T2,G2300,Wide Ruins Chapter,433,257901190687296,Fort Defiance,23369.26856389357,832,214,1.3924711360531953e-6,0.03916848866561516
2430,35-01742,NA,NA,D7,005,02419296,255345244,0,Alamo,+34.4104567,-107.4788618,F,A,2430005,+34.4104567,-107.4788618,T2,G2300,Alamo Chapter,440,257901357382006,Crownpoint,30124.317632776194,1527,81,0,0
