tract_geoid,HTN_crude_prev,DM_crude_prev
04013116617,32.5,13.1
04013422217,26.7,8.4
04013216813,36.8,10.4
04013420302,32.1,10.1
04013422615,27.5,8.9
04013613300,29.8,8.6
04013113601,24,9.5
04013116717,24.2,7.6
04013216830,32.1,9.7
04013610500,33,10
04013422617,27,8.3
04013113800,22.6,7.7
04013217102,25.2,6.8
04013319104,15.3,4.2
04013420111,29.1,9.9
04013115600,32.6,14.6
04013422636,24.1,7.4
04013116711,31,10.1
04013319902,28.9,9.1
04013420214,41.7,14.6
04013422514,26.4,8.6
04013422002,29,12.5
04013318400,19.8,6
04013422216,27.4,8.4
04013216836,31,8.9
04013319101,15,3.7
04013420505,24.9,8.6
04013613900,28.2,8.6
04013422634,33.8,12.1
04013422106,27.1,10.1
04013421701,28.2,10.1
04013216831,36.5,11
04013112601,34.9,18.1
04013610002,30.4,9.5
04013420202,40,14.4
04013422642,28,8.7
04013422654,25.5,7.7
04013320001,21.8,6.6
04013422652,56.2,18.1
04013422630,40.2,15.6
04013611300,24.4,7.1
04013422502,28,9.4
04013319103,16.1,4.4
04013318700,16,4.2
04013116738,26.3,8.3
04013421102,28.7,10.1
04013422610,52.4,17.1
04013216842,31.4,9
04013611000,27.7,8.3
04013612402,23.7,6.6
04013422650,38.3,11.9
04013216853,30.3,8.6
04013614700,31.9,11
04013422213,27.3,8.5
04013612401,25.1,7.3
04013422658,24,6.8
04013116612,28.9,10.9
04013611800,26.4,7.8
04013116710,33,10.4
04013422221,26.6,8.6
04013114900,41.2,22
04013611400,27.9,8.2
04013216833,34.2,10.2
04013611100,26.1,7.7
04013115802,31.7,15
04013421001,40.8,15.7
04013216841,35.8,10
04013217201,20,5
04013216850,27.3,7.9
04013420112,29.7,9.4
04013216845,31.3,9
04013318900,23.4,7.2
04013116204,29.7,12.8
04013116610,26.7,9.5
04013421304,19.9,5.9
04013610903,25.9,7.3
04013216809,34.6,9.9
04013612800,31.4,9.3
04013116707,29.4,8.6
04013422210,28.3,9.2
04013216843,43,12.6
04013216835,35.4,10.7
04013422507,29.8,8.8
04013610202,39.5,11.7
04013422105,26.3,9.5
04013610800,26.4,7.8
04013115300,41.7,21
04013117100,23.4,7.4
04013420210,34.1,10.8
04013117200,32.7,16.5
04013420115,34.9,12.8
04013116719,27.4,8.7
04013216822,39.3,11
04013422103,26.4,9.1
04013615400,52.7,16.4
04013422659,41,13
04013422620,26.8,8.2
04013614500,30.4,10.7
04013216855,32.8,9.5
04013116618,24.4,8.3
04013523102,26.4,10.1
04013614100,29.6,9.5
04013422618,54.7,16.9
04013216857,41,12.4
04013612302,24.7,7.4
04013116727,29.4,8.7
04013422402,29.7,10
04013113301,40.7,21.3
04013420705,28.2,8.3
04013319710,20,6.2
04013420212,36.3,11.1
04013116500,33.4,16.2
04013422104,29.5,11.2
04013422301,25.7,9.8
04013422656,25.7,7.3
04013422648,24.5,7.3
04013116619,28.1,10.1
04013113000,21.2,6
04013216838,29.8,8.6
04013613601,32.3,10.1
04013612500,33.5,10.1
04013422513,31.6,9.7
04013421201,21.6,6.7
04013216832,43.8,13.9
04013610302,29.5,8.8
04013319708,31.1,10.5
04013113502,34.5,17.3
04013319402,27.8,8.3
04013523103,27.7,8.7
04013113204,27.1,10.7
04013422637,26.8,8.1
04013116725,29.3,8.8
04013217300,29.2,7.9
04013420301,28.9,8.5
04013319001,9.4,1.4
04013320007,24.5,8.3
04013114704,36.9,18.7
04013422218,28.5,9.5
04013218000,26.6,7.9
04013611900,26.8,8.2
04013319500,22.7,6.6
04013420213,53.3,17.7
04013420706,28,8.6
04013216807,33.1,9.5
04013612900,30.8,9
04013422621,28.5,8.9
04013115200,30.5,13.6
04013422102,34.3,14.4
04013319002,14.6,3.7
04013116205,24.7,8.7
04013422219,28.2,9.3
04013421901,27.9,11.5
04013116300,33.4,14.4
04013217101,27.9,8.1
04013420211,29.6,8.8
04013216851,36,10.3
04013420603,29.2,8.8
04013116620,28.3,10.7
04013116621,27.3,10
04013216856,40.4,12.4
04013614300,34.8,10.8
04013422209,26.5,8.8
04013216834,42.9,13.7
04013116728,28.3,8.3
04013113100,24.4,8.1
04013216837,28.6,8.4
04013420206,49.2,16.1
04013613200,33.3,9.9
04013320002,35.6,18.2
04013116100,29.4,12.4
