GEOID,chapter
040179400132030,Jeddito Chapter
040179400132055,Jeddito Chapter
040179424001194,Shonto Chapter
040179423002046,Shonto Chapter
040179400112047,Piñon Chapter
040059451002101,Leupp Chapter
040059451004251,Coalmine Mesa Chapter
040179400132050,Jeddito Chapter
040179400113015,Piñon Chapter
040179400143057,Indian Wells Chapter
040059450001233,Bodaway Chapter
040179400082039,Hard Rock Chapter
040179400103036,Piñon Chapter
040019443012130,Tachee Chapter
040019442012030,Chinle Chapter
040059422011036,Coppermine Chapter
040059422011131,Coppermine Chapter
040019451002022,Nahatadziil Chapter
040019441005105,Cove Chapter
040179424002123,Chilchinbeto Chapter
040059450001095,Cameron Chapter
040019451002114,Nahatadziil Chapter
040019449022098,Cornfields Chapter
040019440001280,Sawmill Chapter
040019449024036,Ganado Chapter
040019427002232,Rough Rock Chapter
040179400142097,White Cone Chapter
040059450001317,Cameron Chapter
040019451001124,Nahatadziil Chapter
040019451002088,Nahatadziil Chapter
040179400141121,Greasewood Chapter
040179400153042,Indian Wells Chapter
040179423003078,Shonto Chapter
040179423002023,Shonto Chapter
040019450022064,St. Michaels Chapter
040059422013116,Tonalea Chapter
040019441003073,Tsaile-Wheatfields Chapter
040019443011051,Many Farms Chapter
040019450021009,Oak Springs Chapter
040059422013086,Tonalea Chapter
040059451001096,Leupp Chapter
040019443021125,Nazlini Chapter
040019443021063,Nazlini Chapter
040019449012006,Kinlichee Chapter
040019441002079,Round Rock Chapter
040019449012067,Kinlichee Chapter
040019443012043,Rough Rock Chapter
040019443011064,Many Farms Chapter
040019450023093,Lupton Chapter
040019426001031,Dennehotso Chapter
040019427002159,Rock Point Chapter
040019427001086,Teec Nos Pos Chapter
040059422012052,Coppermine Chapter
040059451002187,Bird Springs Chapter
040019441003041,Tsaile-Wheatfields Chapter
040019450023042,Houck Chapter
040019450023082,Houck Chapter
040019443013087,Many Farms Chapter
040019449023088,Klagetoh Chapter
040059422022059,Kaibeto Chapter
040019441004038,Tsaile-Wheatfields Chapter
040019440003036,Fort Defiance Chapter
040019450011015,St. Michaels Chapter
040019440002073,Fort Defiance Chapter
040019449022157,Cornfields Chapter
040019442012060,Chinle Chapter
040019450021041,Oak Springs Chapter
040019442021027,Chinle Chapter
040059449002034,Coalmine Mesa Chapter
040059422023024,Tonalea Chapter
040059422012260,Tuba City Chapter
040179400081011,Forest Lake Chapter
040059450003088,Bodaway Chapter
040059451002185,Leupp Chapter
040059451001051,Leupp Chapter
040050022013116,Coalmine Mesa Chapter
